,Room scene,Inside city scene,Hallway scene,Forest scene ,Desert scene,Open country scene,Mountain scene,Coast/River scene
0283_indoor.jpg,0.8181818181818182,0.2727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
0214_indoor.jpg,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
0080_indoor.jpg,1.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0
0215_indoor.jpg,1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
0216_indoor.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0146_indoor.jpg,0.7142857142857143,0.23809523809523808,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
0221_indoor.jpg,0.8181818181818182,0.13636363636363635,0.36363636363636365,0.0,0.0,0.0,0.0,0.0
0072_indoor.jpg,0.9545454545454546,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456
0224_indoor.jpg,0.8636363636363636,0.22727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
0226_indoor.jpg,1.0,0.13636363636363635,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
0229_indoor.jpg,1.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
0066_indoor.jpg,0.3181818181818182,0.7727272727272727,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.0
0231_indoor.jpg,1.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0
0232_indoor.jpg,1.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
0233_indoor.jpg,1.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0
0234_indoor.jpg,1.0,0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.0,0.0
0235_indoor.jpg,0.22727272727272727,0.7272727272727273,0.4090909090909091,0.0,0.0,0.0,0.0,0.0
0236_indoor.jpg,0.9090909090909091,0.09090909090909091,0.3181818181818182,0.0,0.0,0.0,0.0,0.0
0212_indoor.jpg,0.14285714285714285,0.38095238095238093,0.7619047619047619,0.0,0.0,0.0,0.0,0.0
0058_indoor.jpg,1.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
0211_indoor.jpg,0.2727272727272727,0.13636363636363635,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
