,Building/Wall,Tree/Plant,Road/Street,Furniture,Body of water,Rocks/Stones
0283_indoor.jpg,0.9545454545454546,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0
0214_indoor.jpg,0.9047619047619048,0.047619047619047616,0.0,0.8571428571428571,0.047619047619047616,0.0
0080_indoor.jpg,0.6363636363636364,0.5909090909090909,0.0,0.8636363636363636,0.045454545454545456,0.0
0215_indoor.jpg,0.5909090909090909,0.5909090909090909,0.0,0.9545454545454546,0.0,0.09090909090909091
0216_indoor.jpg,0.8636363636363636,0.0,0.0,0.9545454545454546,0.0,0.0
0146_indoor.jpg,0.9090909090909091,0.0,0.0,0.45454545454545453,0.0,0.0
0221_indoor.jpg,0.9130434782608695,0.08695652173913043,0.0,0.9565217391304348,0.0,0.0
0072_indoor.jpg,0.6666666666666666,0.2857142857142857,0.0,0.9523809523809523,0.0,0.0
0224_indoor.jpg,0.7619047619047619,0.0,0.0,0.9523809523809523,0.0,0.047619047619047616
0226_indoor.jpg,0.7619047619047619,0.09523809523809523,0.0,1.0,0.0,0.0
0229_indoor.jpg,0.6818181818181818,0.5454545454545454,0.0,1.0,0.0,0.0
0066_indoor.jpg,0.8260869565217391,0.043478260869565216,0.6086956521739131,0.0,0.043478260869565216,0.043478260869565216
0231_indoor.jpg,0.6818181818181818,0.6363636363636364,0.0,1.0,0.0,0.0
0232_indoor.jpg,0.7619047619047619,0.047619047619047616,0.0,1.0,0.0,0.0
0233_indoor.jpg,0.8181818181818182,0.045454545454545456,0.0,1.0,0.0,0.0
0234_indoor.jpg,0.8260869565217391,0.043478260869565216,0.043478260869565216,1.0,0.043478260869565216,0.043478260869565216
0235_indoor.jpg,1.0,0.0,0.0,0.4090909090909091,0.0,0.0
0236_indoor.jpg,0.9047619047619048,0.14285714285714285,0.0,0.47619047619047616,0.0,0.0
0212_indoor.jpg,0.9090909090909091,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.0,0.045454545454545456
0058_indoor.jpg,0.7619047619047619,0.047619047619047616,0.0,1.0,0.0,0.0
0211_indoor.jpg,0.9523809523809523,0.0,0.047619047619047616,0.19047619047619047,0.0,0.0
0208_indoor.jpg,0.782608695652174,0.043478260869565216,0.0,0.9130434782608695,0.043478260869565216,0.0
0145_indoor.jpg,0.8,0.15,0.15,0.4,0.0,0.35
0143_indoor.jpg,0.7391304347826086,0.4782608695652174,0.043478260869565216,0.8260869565217391,0.043478260869565216,0.043478260869565216
0140_indoor.jpg,0.8260869565217391,0.08695652173913043,0.043478260869565216,0.6521739130434783,0.08695652173913043,0.17391304347826086
0139_indoor.jpg,0.7142857142857143,0.047619047619047616,0.0,0.9523809523809523,0.0,0.0
0137_indoor.jpg,0.9545454545454546,0.0,0.3181818181818182,0.18181818181818182,0.0,0.0
0136_indoor.jpg,0.95,0.0,0.2,0.3,0.0,0.05
